,station_code,station_name,line_num,
역코드,3211,가정,인천2,호선
역코드,3212,가정중앙시장,인천2,호선
역코드,3213,석남,인천2,호선
역코드,3214,서부여성회관,인천2,호선
역코드,3215,인천가좌,인천2,호선
역코드,3216,가재울,인천2,호선
역코드,3217,주안국가산단,인천2,호선
역코드,3218,주안,인천2,호선
역코드,3219,시민공원,인천2,호선
역코드,3220,석바위시장,인천2,호선
역코드,3221,인천시청,인천2,호선
역코드,3222,석천사거리,인천2,호선
역코드,3223,모래내시장,인천2,호선
역코드,3224,만수,인천2,호선
역코드,3225,남동구청,인천2,호선
역코드,3226,인천대공원,인천2,호선
역코드,3227,운연,인천2,호선
역코드,3762,산곡,7,호선
역코드,3763,석남,7,호선
역코드,4101,개화,9,호선
역코드,4102,김포공항,9,호선
역코드,4103,공항시장,9,호선
역코드,4104,신방화,9,호선
역코드,4105,마곡나루,9,호선
역코드,4106,양천향교,9,호선
역코드,4107,가양,9,호선
역코드,4108,증미,9,호선
역코드,4109,등촌,9,호선
역코드,4110,염창,9,호선
역코드,4111,신목동,9,호선
역코드,4112,선유도,9,호선
역코드,4113,당산,9,호선
역코드,4114,국회의사당,9,호선
역코드,4115,여의도,9,호선
역코드,4116,샛강,9,호선
역코드,4117,노량진,9,호선
역코드,4118,노들,9,호선
역코드,4119,흑석,9,호선
역코드,4120,동작,9,호선
역코드,4121,구반포,9,호선
역코드,4122,신반포,9,호선
역코드,4123,고속터미널,9,호선
역코드,4124,사평,9,호선
역코드,4125,신논현,9,호선
역코드,4126,언주,9,호선
역코드,4127,선정릉,9,호선
역코드,4128,삼성중앙,9,호선
역코드,4129,봉은사,9,호선
역코드,4130,종합운동장,9,호선
역코드,4131,삼전,9,호선
역코드,4132,석촌고분,9,호선
역코드,4133,석촌,9,호선
역코드,4134,송파나루,9,호선
역코드,4135,한성백제,9,호선
역코드,4136,올림픽공원,9,호선
역코드,4137,둔촌오륜,9,호선
역코드,4138,중앙보훈병원,9,호선
역코드,4201,서울역,공항철도,호선
역코드,4202,공덕,공항철도,호선
역코드,4203,홍대입구,공항철도,호선
역코드,4204,디지털미디어시티,공항철도,호선
역코드,4206,마곡나루,공항철도,호선
역코드,4207,김포공항,공항철도,호선
역코드,4208,계양,공항철도,호선
역코드,4209,검암,공항철도,호선
역코드,4210,청라국제도시,공항철도,호선
역코드,4211,운서,공항철도,호선
역코드,4212,공항화물청사,공항철도,호선
역코드,4213,인천공항1터미널,공항철도,호선
